location_id,year,month,temp_mean,temp_max,temp_min,rain_sum,rain_days,sunshine_mean_hours,radiation_mean,et0_mean,wind_speed_max,date
25,2010,7,22.248387096774195,27.8,18.5,225.5,30,9.922120609318997,18.61516129032258,3.817096774193548,21.3,2010-07-01
25,2010,8,22.690322580645162,29.1,18.4,254.7,29,9.180789516129032,17.287419354838708,3.7793548387096774,21.0,2010-08-01
25,2010,9,22.27,29.0,17.9,335.9,28,8.57203138888889,17.574666666666666,3.743333333333333,17.7,2010-09-01
25,2010,10,21.648387096774194,28.1,15.6,301.8,24,9.769201254480288,18.675161290322578,3.7370967741935486,20.0,2010-10-01
25,2010,11,20.476666666666667,25.7,17.0,394.6,28,8.04038175925926,14.496333333333332,2.7863333333333333,14.1,2010-11-01
25,2010,12,19.822580645161292,25.1,15.2,504.5,27,6.3508123655913975,11.921290322580646,2.3009677419354837,18.1,2010-12-01
25,2011,1,19.287096774193547,23.7,13.1,511.90000000000003,24,6.465992831541222,12.277096774193547,2.301290322580645,11.6,2011-01-01
25,2011,2,20.05,25.3,15.7,340.7,15,7.626721031746032,15.140357142857143,2.8975,10.2,2011-02-01
25,2011,3,20.874193548387098,27.1,14.6,103.2,18,10.290438620071685,20.580967741935485,3.9516129032258065,12.2,2011-03-01
25,2011,4,21.35666666666667,27.4,15.5,273.5,24,9.331977037037035,19.592333333333332,3.8383333333333334,11.6,2011-04-01
25,2011,5,22.61935483870968,28.1,17.7,117.7,26,10.93343700716846,20.966129032258063,4.1567741935483875,18.4,2011-05-01
25,2011,6,23.743333333333332,29.9,17.9,72.0,22,11.025630092592595,20.711333333333336,4.740666666666667,20.2,2011-06-01
25,2011,7,23.596774193548388,29.7,19.2,161.7,29,10.362057795698924,19.174516129032256,4.506451612903225,19.8,2011-07-01
25,2011,8,22.751612903225805,29.3,18.7,163.8,29,10.300511738351256,18.942903225806454,4.097741935483871,20.2,2011-08-01
25,2011,9,22.886666666666667,29.9,17.7,210.7,26,10.689367129629629,20.481333333333335,4.3533333333333335,17.7,2011-09-01
25,2011,10,21.519354838709678,30.1,18.0,425.9,29,8.876920071684587,17.574838709677422,3.4874193548387096,10.2,2011-10-01
25,2011,11,20.363333333333333,24.8,16.4,248.4,23,8.37532962962963,15.152,2.8556666666666666,14.0,2011-11-01
25,2011,12,20.0258064516129,25.5,13.1,342.1,24,7.90932329749104,14.387096774193548,2.732258064516129,11.5,2011-12-01
25,2012,1,19.61935483870968,25.0,14.0,64.60000000000001,13,10.405066218637993,18.12516129032258,3.3583870967741936,10.7,2012-01-01
25,2012,2,20.103448275862068,25.3,14.0,141.4,13,9.779970977011496,18.749655172413792,3.529655172413793,11.4,2012-02-01
25,2012,3,21.574193548387097,28.0,15.8,72.9,11,10.967732974910394,22.97967741935484,4.502580645161291,9.1,2012-03-01
25,2012,4,21.396666666666665,26.4,17.4,315.5,29,9.425290555555554,19.240000000000002,3.731333333333333,14.6,2012-04-01
25,2012,5,23.287096774193547,29.6,16.0,61.1,21,11.10444363799283,22.53032258064516,4.70258064516129,19.0,2012-05-01
25,2012,6,23.823333333333334,29.7,19.5,83.0,25,10.78453527777778,19.476666666666667,4.581666666666666,20.9,2012-06-01
25,2012,7,23.200000000000003,30.3,18.8,133.4,24,10.767581093189966,20.168709677419354,4.493225806451613,21.3,2012-07-01
